Gen	PrZero	PrOne
0	1.0	0.0
1	0.94	0.06
2	0.889	0.111
3	0.84565	0.15435
4	0.8088025	0.1911975
5	0.777482125	0.222517875
6	0.75085980625	0.24914019375
7	0.728230835312	0.271769164688
8	0.708996210016	0.291003789984
9	0.692646778513	0.307353221487
10	0.678749761736	0.321250238264
11	0.666937297476	0.333062702524
12	0.656896702854	0.343103297146
13	0.648362197426	0.351637802574
14	0.641107867812	0.358892132188
15	0.634941687641	0.365058312359
16	0.629700434494	0.370299565506
17	0.62524536932	0.37475463068
18	0.621458563922	0.378541436078
19	0.618239779334	0.381760220666
20	0.615503812434	0.384496187566
21	0.613178240569	0.386821759431
22	0.611201504483	0.388798495517
23	0.609521278811	0.390478721189
24	0.608093086989	0.391906913011
25	0.606879123941	0.393120876059
26	0.60584725535	0.39415274465
27	0.604970167047	0.395029832953
28	0.60422464199	0.39577535801
29	0.603590945692	0.396409054308
30	0.603052303838	0.396947696162
31	0.602594458262	0.397405541738
32	0.602205289523	0.397794710477
33	0.601874496094	0.398125503906
34	0.60159332168	0.39840667832
35	0.601354323428	0.398645676572
36	0.601151174914	0.398848825086
37	0.600978498677	0.399021501323
38	0.600831723875	0.399168276125
39	0.600706965294	0.399293034706
40	0.6006009205	0.3993990795
